"Statistic Label","Year","Source of Tax Funds","UNIT","VALUE"
"Stamp duty (capital transactions) (D214C)","2001","General Government and Rest of World  (S.13+S.212)","€milllion","1016.8"
"Stamp duty (capital transactions) (D214C)","2001","General Government - Total (S.13)","€milllion","1016.8"
"Stamp duty (capital transactions) (D214C)","2001","General Government - Central Government (S.1311)","€milllion","1016.8"
"Stamp duty (capital transactions) (D214C)","2001","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2001","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2001","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2002","General Government and Rest of World  (S.13+S.212)","€milllion","968.9"
"Stamp duty (capital transactions) (D214C)","2002","General Government - Total (S.13)","€milllion","968.9"
"Stamp duty (capital transactions) (D214C)","2002","General Government - Central Government (S.1311)","€milllion","968.9"
"Stamp duty (capital transactions) (D214C)","2002","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2002","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2002","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2003","General Government and Rest of World  (S.13+S.212)","€milllion","1330.8"
"Stamp duty (capital transactions) (D214C)","2003","General Government - Total (S.13)","€milllion","1330.8"
"Stamp duty (capital transactions) (D214C)","2003","General Government - Central Government (S.1311)","€milllion","1330.8"
"Stamp duty (capital transactions) (D214C)","2003","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2003","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2003","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2004","General Government and Rest of World  (S.13+S.212)","€milllion","1721.5"
"Stamp duty (capital transactions) (D214C)","2004","General Government - Total (S.13)","€milllion","1721.5"
"Stamp duty (capital transactions) (D214C)","2004","General Government - Central Government (S.1311)","€milllion","1721.5"
"Stamp duty (capital transactions) (D214C)","2004","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2004","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2004","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2005","General Government and Rest of World  (S.13+S.212)","€milllion","2313.66"
"Stamp duty (capital transactions) (D214C)","2005","General Government - Total (S.13)","€milllion","2313.66"
"Stamp duty (capital transactions) (D214C)","2005","General Government - Central Government (S.1311)","€milllion","2313.66"
"Stamp duty (capital transactions) (D214C)","2005","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2005","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2005","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2006","General Government and Rest of World  (S.13+S.212)","€milllion","3435.38"
"Stamp duty (capital transactions) (D214C)","2006","General Government - Total (S.13)","€milllion","3435.38"
"Stamp duty (capital transactions) (D214C)","2006","General Government - Central Government (S.1311)","€milllion","3435.38"
"Stamp duty (capital transactions) (D214C)","2006","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2006","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2006","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2007","General Government and Rest of World  (S.13+S.212)","€milllion","2965.259"
"Stamp duty (capital transactions) (D214C)","2007","General Government - Total (S.13)","€milllion","2965.259"
"Stamp duty (capital transactions) (D214C)","2007","General Government - Central Government (S.1311)","€milllion","2965.259"
"Stamp duty (capital transactions) (D214C)","2007","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2007","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2007","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2008","General Government and Rest of World  (S.13+S.212)","€milllion","1490.55"
"Stamp duty (capital transactions) (D214C)","2008","General Government - Total (S.13)","€milllion","1490.55"
"Stamp duty (capital transactions) (D214C)","2008","General Government - Central Government (S.1311)","€milllion","1490.55"
"Stamp duty (capital transactions) (D214C)","2008","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2008","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2008","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2009","General Government and Rest of World  (S.13+S.212)","€milllion","537.31"
"Stamp duty (capital transactions) (D214C)","2009","General Government - Total (S.13)","€milllion","537.31"
"Stamp duty (capital transactions) (D214C)","2009","General Government - Central Government (S.1311)","€milllion","537.31"
"Stamp duty (capital transactions) (D214C)","2009","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2009","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2009","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2010","General Government and Rest of World  (S.13+S.212)","€milllion","395.83"
"Stamp duty (capital transactions) (D214C)","2010","General Government - Total (S.13)","€milllion","395.83"
"Stamp duty (capital transactions) (D214C)","2010","General Government - Central Government (S.1311)","€milllion","395.83"
"Stamp duty (capital transactions) (D214C)","2010","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2010","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2010","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2011","General Government and Rest of World  (S.13+S.212)","€milllion","353.11"
"Stamp duty (capital transactions) (D214C)","2011","General Government - Total (S.13)","€milllion","353.11"
"Stamp duty (capital transactions) (D214C)","2011","General Government - Central Government (S.1311)","€milllion","353.11"
"Stamp duty (capital transactions) (D214C)","2011","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2011","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2011","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2012","General Government and Rest of World  (S.13+S.212)","€milllion","286.27"
"Stamp duty (capital transactions) (D214C)","2012","General Government - Total (S.13)","€milllion","286.27"
"Stamp duty (capital transactions) (D214C)","2012","General Government - Central Government (S.1311)","€milllion","286.27"
"Stamp duty (capital transactions) (D214C)","2012","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2012","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2012","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2013","General Government and Rest of World  (S.13+S.212)","€milllion","408.44"
"Stamp duty (capital transactions) (D214C)","2013","General Government - Total (S.13)","€milllion","408.44"
"Stamp duty (capital transactions) (D214C)","2013","General Government - Central Government (S.1311)","€milllion","408.44"
"Stamp duty (capital transactions) (D214C)","2013","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2013","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2013","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2014","General Government and Rest of World  (S.13+S.212)","€milllion","558.98"
"Stamp duty (capital transactions) (D214C)","2014","General Government - Total (S.13)","€milllion","558.98"
"Stamp duty (capital transactions) (D214C)","2014","General Government - Central Government (S.1311)","€milllion","558.98"
"Stamp duty (capital transactions) (D214C)","2014","General Government - Local Government (S.1313)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2014","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2014","Rest of World (S.212)","€milllion",""
"Stamp duty (capital transactions) (D214C)","2015","General Government and Rest of World  (S.13+S.212)","€milllion","746.18"
"Stamp duty (capital transactions) (D214C)","2015","General Government - Total (S.13)","€milllion","746.18"
